Galaxy,M_BH,M_BH_std_sym,log_sigma0,log_sigma0_std,log_R_e_sph_eq_kpc,log_R_e_sph_eq_kpc_std,log<Sigma>_e,log<Sigma>_e_std,"GJC23log(M*,gal/M_sun)","GJC23log(M*,gal/M_sun)_std",GJC23log(sSFR),GJC23log(sSFR)_std,GJC23W2-W3,GJC23W2-W3_std
IC 1459,9.380211242,0.180956034,2.471453074,0.009327996,0.88525942,0.09,2.889337533,0.128944265,11.24,0.08,-12.00346274,0.103711563,0.39,0.06
IC 4296,9.102971119,0.086075459,2.515012345,0.007217235,0.960194796,0.31,2.871399479,0.094547936,11.47,0.08,-12.47261362,0.112489688,0.02,0.08
NGC 0821,7.591064607,0.194875729,2.296072566,0.00623778,0.538083368,0.011171562,2.906780616,0.093729642,10.64,0.08,-11.64788851,0.108580227,0.27,0.13
NGC 1275,8.903089987,0.244290646,2.388509715,0.022706236,1.2397098,0.31,2.507698999,0.130687956,11.52,0.09,-9.806382631,0.112889706,3.0,0.04
NGC 1399,8.667597357,0.055441849,2.521438846,0.006967431,0.756179517,0.09,3.010214806,0.09085723,11.23,0.08,-12.72349497,0.127100289,0.17,0.07
NGC 1407,9.649324444,0.062731425,2.424277122,0.008272899,0.798620955,0.31,3.029950764,0.121961414,11.39,0.08,-15.69103,0.441601287,0.07,0.09
NGC 1600,10.2797881,0.038320101,2.52040492,0.009185386,1.2216458,0.09,2.660104079,0.072894449,11.71,0.09,-15.23287875,0.443521924,-0.34,0.1
NGC 3091,9.614930156,0.018095603,2.492718494,0.010697803,1.150179043,0.09,2.611212102,0.174202526,11.39,0.09,-15.08897,0.443521924,-0.21,0.11
NGC 3377,8.243991495,0.228576043,2.133858125,0.00724356,0.361425613,0.0058954,2.767967667,0.072654454,10.13,0.08,-14.43103,0.441601287,-0.09,0.08
NGC 3379,8.626649265,0.10857362,2.306360683,0.003860967,0.430993652,0.31,3.188065451,0.143177631,10.64,0.08,-14.94103,0.441601287,0.12,0.05
NGC 3414,8.376651431,0.05428681,2.375755035,0.014881739,0.474726042,0.09,3.067010206,0.147427811,10.63,0.08,-12.04907502,0.097568876,0.5,0.07
NGC 3585,8.486884391,0.140094994,2.330819466,0.010238969,0.904715545,0.31,2.673497599,0.097102138,11.03,0.09,-13.16076828,0.279012099,0.06,0.09
NGC 3607,8.165530387,0.167036339,2.346724509,0.008072533,0.895422546,0.31,2.743881284,0.128858913,11.13,0.08,-11.72963473,0.091830901,0.73,0.06
NGC 3608,8.632971961,0.097157602,2.288338669,0.009390634,0.662795595,0.31,2.752286799,0.085272356,10.56,0.09,-14.86103,0.443521924,-0.13,0.1
NGC 3842,9.935784689,0.123124724,2.488635311,0.009389084,1.476472224,0.09,2.028310434,0.076812892,11.45,0.09,-14.79678749,0.443521924,-0.43,0.07
NGC 3923,9.473661779,0.13,2.390139938,0.008737181,0.921721842,0.09,2.798623343,0.13128095,11.3,0.08,-15.60103,0.441601287,-0.03,0.08
NGC 4261,9.205902972,0.083649913,2.472361457,0.006264215,0.836229143,0.31,2.885613505,0.100970411,11.17,0.08,-11.98530857,0.103437993,0.22,0.08
NGC 4291,8.967248359,0.136897174,2.466363368,0.01006122,0.270306091,0.31,3.354655847,0.143205791,10.47,0.08,-14.77103,0.441601287,0.0,0.09
NGC 4374,8.949362745,0.041016701,2.443403817,0.003817423,1.042693618,0.31,2.592637792,0.078704245,11.14,0.08,-15.44103,0.441601287,-0.04,0.07
NGC 4472,9.359828843,0.034743559,2.450218306,0.004435662,1.00635906,0.09,2.812339968,0.075786118,11.41,0.08,-12.07958623,0.097080799,0.28,0.12
NGC 4473,7.948528026,0.217147241,2.251784177,0.005958902,0.430349226,0.31,2.963662749,0.083210078,10.53,0.08,-12.04855737,0.106454665,0.15,0.08
NGC 4486,9.85308953,0.023755238,2.509202522,0.005768184,0.848503174,0.31,3.051074032,0.077165581,11.31,0.08,-12.01996539,0.103379885,0.33,0.05
NGC 4552,8.669202453,0.043429448,2.3984782,0.005048927,0.705564391,0.31,2.675096484,0.087681792,10.77,0.09,-12.11872199,0.109865582,0.5,0.1
NGC 4621,8.586157273,0.044543024,2.357534655,0.007187718,0.883093359,0.09,2.581033686,0.102366306,10.89,0.08,-11.81959268,0.096473303,0.42,0.13
NGC 4649,9.670438916,0.095544786,2.519171464,0.006070924,0.798375758,0.09,3.040975482,0.087876042,11.24,0.08,-12.02277934,0.094361015,0.42,0.1
NGC 4697,8.096544137,0.015510517,2.218062618,0.004232019,1.086359831,0.4,2.029802214,0.084491961,10.65,0.08,-12.10967053,0.107188225,0.09,0.06
NGC 4889,10.29216588,0.330891034,2.594436751,0.005823153,1.433238438,0.09,2.376167091,0.088857865,11.72,0.09,-15.02103,0.443521924,-0.17,0.09
NGC 5077,8.854217576,0.225950507,2.400365273,0.009570372,0.63818964,0.09,3.156956518,0.174140356,11.02,0.08,-11.9361392,0.104549859,0.22,0.07
NGC 5419,9.863471037,0.13873296,2.536987475,0.00679807,1.014083504,0.010178777,2.871554085,0.089213821,11.64,0.08,-12.46739707,0.115198418,0.04,0.12
NGC 5576,8.198834386,0.095001918,2.261476989,0.014342493,0.764728927,0.09,2.521646317,0.086379369,10.7,0.08,-15.00103,0.441601287,-0.23,0.05
NGC 5846,9.037788561,0.039481317,2.375132994,0.006371337,0.981863891,0.31,2.641140785,0.102874739,11.18,0.09,-15.48103,0.443521924,-0.13,0.08
NGC 6251,8.77237707,0.144764827,2.494599796,0.025252266,1.161613534,0.09,2.659333051,0.088985228,11.51,0.08,-11.49229903,0.091135746,1.05,0.04
NGC 7052,9.348897423,0.017371779,2.445495227,0.01838819,0.765790706,0.09,3.04066011,0.074664664,11.22,0.08,-11.69031305,0.099632344,0.58,0.05
NGC 7619,9.354518696,0.095544786,2.501196242,0.006656169,1.107820267,0.31,2.521714896,0.07244178,11.29,0.08,-15.11390874,0.441601287,-0.01,0.12
NGC 7768,9.095861513,0.150332705,2.46155855,0.017900543,1.322382641,0.31,2.360686277,0.08925232,11.44,0.09,-14.62708664,0.443521924,-0.38,0.05
