M_BH,log_sigma0,log_R_e_sph_eq_kpc,<Sigma>_e,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),GJC23W2-W3
9.380211242,2.471453074,0.88525942,1.785337533,11.24,-12.00346274,0.39
9.102971119,2.515012345,0.960194796,2.871399479,11.47,-12.47261362,0.02
5.74,1.538950562,-1.239788683,3.640768301,8.85,-10.36427857,1.28
8.677183839,2.37417991,0.041392685,3.831612442,11.1,-12.15998184,0.52
7.591064607,2.296072566,0.321784783,2.132828807,10.64,-11.64788851,0.27
7.62324929,2.294686624,-0.406492411,3.110386841,10.61,-12.34992861,0.18
7.820198989,2.17,-0.040310037,3.964553986,10.46,-9.868501315,2.83
8.903089987,2.388509715,1.2397098,2.507698999,11.52,-9.806382631,3.0
8.156998317,2.348421698,0.135895576,2.832206321,11.43,-11.96180041,0.65
9.15548582,2.469262225,0.276461804,2.573544926,10.88,-11.69987412,0.42
8.758880366,2.253749808,0.028709489,3.35438684,10.33,-14.63103,0.12
8.667597357,2.521438846,1.492832998,0.756940013,11.23,-12.72349497,0.17
9.649324444,2.424277122,0.798620955,3.029950764,11.39,-15.69103,0.07
10.2797881,2.52040492,1.2216458,2.660104079,11.71,-15.23287875,-0.34
7.142582755,2.149557792,-0.734851861,3.14519351,9.97,-11.97,0.33
7.136668167,2.187605315,-0.632271454,2.746602175,9.89,-11.70247928,0.12
7.596069628,2.283120235,-0.853871964,4.298531228,9.8,-11.89151498,0.59
9.614930156,2.492718494,1.150179043,1.507212102,11.39,-15.08897,-0.21
8.939837767,2.415357362,0.189770956,2.477115536,10.63,-12.59657624,0.14
8.296730015,2.316033282,-0.633017024,3.393767473,10.45,-11.22185639,1.09
8.243991495,2.133858125,0.361727836,1.214911114,10.13,-14.43103,-0.09
8.626649265,2.306360683,0.430993652,2.084065451,10.64,-14.94103,0.12
7.022424846,2.158694118,-0.519418213,3.182011744,10.37,-11.84625353,0.24
8.376651431,2.375755035,0.474726042,1.963010206,10.63,-12.04907502,0.5
6.759700121,2.017784353,-1.021363052,3.640499535,10.14,-11.23963287,1.16
8.486884391,2.330819466,0.904715545,1.569497599,11.03,-13.16076828,0.06
8.165530387,2.346724509,0.895422546,1.639881284,11.13,-11.72963473,0.73
8.632971961,2.288338669,0.662795595,1.648286799,10.56,-14.86103,-0.13
8.759667845,2.332680789,0.326638942,3.569058972,11.13,-11.2726675,1.33
9.935784689,2.488635311,1.476472224,0.924310434,11.45,-14.79678749,-0.43
9.473661779,2.390139938,0.921721842,2.798623343,11.3,-15.60103,-0.03
8.418774637,2.423393345,-0.505845406,3.097210714,10.3,-11.18472241,1.39
8.255272505,2.239274447,-0.829591588,4.968827046,10.18,-13.22575749,0.52
9.205902972,2.472361457,0.836229143,1.781613505,11.17,-11.98530857,0.22
8.967248359,2.466363368,0.270306091,2.250655847,10.47,-14.77103,0.0
7.62800556,2.045166448,-0.31165138,3.482142884,10.02,-11.15786862,0.67
8.649419525,2.381295623,-0.287434472,3.683970994,10.1,-14.40103,0.31
8.8684625,2.256621546,0.202733458,3.075102752,10.35,-12.05333481,0.51
6.832055183,2.109713505,-0.152982902,3.366570748,10.38,-12.02397414,0.64
8.949362745,2.443403817,1.042693618,1.488637792,11.14,-15.44103,-0.04
8.178715403,2.239149265,-0.04639299,3.755903539,10.75,-11.58983171,0.86
